"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"GIMAP7",0,-2.436218337498,0.28,0.88,0,"GIMAP7"
"S100A8",0,3.69829570347974,0.925,0.329,0,"S100A8"
"IL32",0,-2.27271693489427,0.142,0.716,0,"IL32"
"CD2",0,-2.62459423049571,0.11,0.668,0,"CD2"
"CD3D",0,-2.60433747538169,0.12,0.676,0,"CD3D"
"CD3E",0,-2.72168335971491,0.116,0.669,0,"CD3E"
"CD52",0,-1.40003930947696,0.385,0.926,0,"CD52"
"ARL4C",0,-2.24064358214214,0.155,0.692,0,"ARL4C"
"CD3G",0,-2.48782796116436,0.118,0.654,0,"CD3G"
"TRAC",0,-2.5970196910603,0.119,0.655,0,"TRAC"
"TRBC2",0,-2.65842024774547,0.148,0.677,0,"TRBC2"
"EVL",0,-2.02980402345478,0.227,0.75,0,"EVL"
"NPM1",0,-1.7244254561124,0.433,0.945,0,"NPM1"
"NOP53",0,-1.34555680478798,0.406,0.918,0,"NOP53"
"LINC00861",0,-3.50023953541883,0.071,0.581,0,"LINC00861"
"CSF3R",0,3.72002047725138,0.797,0.29,0,"CSF3R"
"RARRES3",0,-2.11024327207396,0.196,0.696,0,"RARRES3"
"AES",0,-1.44770098887165,0.38,0.875,0,"AES"
"PPDPF",0,-1.29858140578298,0.308,0.801,0,"PPDPF"
"GIMAP4",0,-1.26758133277004,0.337,0.83,0,"GIMAP4"
"HSPA8",0,-1.44492588931067,0.403,0.895,0,"HSPA8"
"ETS1",0,-1.37463152932414,0.249,0.736,0,"ETS1"
"MNDA",0,3.145514073848,0.728,0.242,0,"MNDA"
"HNRNPA1",0,-1.42665232246967,0.455,0.94,0,"HNRNPA1"
"HINT1",0,-1.28790475390884,0.429,0.913,0,"HINT1"
"HSP90AB1",0,-1.30556096880468,0.408,0.891,0,"HSP90AB1"
"EEF1B2",0,-1.49518727376409,0.479,0.962,0,"EEF1B2"
"LCK",0,-2.40035183439966,0.105,0.586,0,"LCK"
"TRAF3IP3",0,-1.37876141527483,0.365,0.846,0,"TRAF3IP3"
"HCST",0,-1.4802177773617,0.373,0.852,0,"HCST"
"EIF4A2",0,-1.21156903138105,0.394,0.87,0,"EIF4A2"
"GIMAP1",0,-1.84281054811399,0.239,0.715,0,"GIMAP1"
"CD247",0,-3.01658153101642,0.092,0.567,0,"CD247"
"CD48",0,-1.4228518985201,0.473,0.947,0,"CD48"
"NCL",0,-1.16786704630279,0.43,0.903,0,"NCL"
"BTF3",0,-1.19436316760255,0.486,0.957,0,"BTF3"
"APRT",0,-1.3131015264581,0.359,0.83,0,"APRT"
"RPS5",0,-1.19569670050507,0.498,0.969,0,"RPS5"
"EIF3E",0,-1.36069303364516,0.426,0.894,0,"EIF3E"
