"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,5.50842372944748,0.375,0.011,0,"0","LRRN3"
0,4.25310339270831,0.373,0.023,0,"0","CHRM3-AS2"
0,4.00743558486222,0.81,0.074,0,"0","LEF1"
0,3.97713608231302,0.635,0.055,0,"0","TRABD2A"
0,3.71567333250065,0.313,0.024,0,"0","NELL2"
0,3.65353325488392,0.276,0.023,0,"0","EPHX2"
0,3.61875956251293,0.639,0.058,0,"0","MAL"
0,3.59072072611499,0.903,0.128,0,"0","CCR7"
0,3.58664282482637,0.271,0.026,0,"0","AK5"
0,3.41056302602841,0.286,0.031,0,"0","TSHZ2"
0,4.28372108868078,0.258,0.027,0,"1","KRT23"
0,4.12872316754966,0.427,0.04,0,"1","ALPL"
1.34394126315394e-281,3.79999159959906,0.457,0.157,2.68667297917104e-277,"1","IFIT1"
0,3.79646761984871,0.703,0.107,0,"1","CXCR2"
0,3.78683691121726,0.435,0.053,0,"1","MME"
0,3.78291446641243,0.646,0.19,0,"1","VNN2"
8.09659787091861e-167,3.74251376152684,0.258,0.068,1.61859088037534e-162,"1","DSC2"
0,3.72388028989915,0.475,0.14,0,"1","RSAD2"
0,3.57834227880841,0.902,0.173,0,"1","FCGR3B"
0,3.57382431475669,0.404,0.064,0,"1","CMTM2"
0,5.09093782359827,0.837,0.056,0,"2","KLRG1"
0,4.96882233951566,0.387,0.018,0,"2","A2M-AS1"
0,4.82317924525295,0.75,0.046,0,"2","TRGC2"
0,4.49058413846974,0.482,0.033,0,"2","GZMK"
0,4.48289151321105,0.755,0.05,0,"2","GZMH"
0,4.37935867369863,0.265,0.014,0,"2","LAG3"
0,4.06797429729655,0.307,0.031,0,"2","TRGC1"
0,3.99853719520872,0.615,0.072,0,"2","CD8A"
0,3.97602010225506,0.311,0.022,0,"2","PPP2R2B"
0,3.8688480885045,0.385,0.028,0,"2","FCRL6"
0,5.41516491580673,0.302,0.009,0,"3","MARCO"
0,4.95693502401513,0.304,0.011,0,"3","PID1"
0,4.92232207441551,0.54,0.022,0,"3","ALDH1A1"
0,4.78716869041944,0.741,0.047,0,"3","LGALS2"
0,4.42777659812367,0.293,0.016,0,"3","ARPIN"
0,4.28792503270655,0.267,0.015,0,"3","SLC46A2"
0,4.28445016229109,0.781,0.058,0,"3","TGFBI"
0,3.94086863548018,0.753,0.061,0,"3","CD300E"
0,3.91848975142316,0.774,0.065,0,"3","ASGR1"
0,3.84495097851241,0.334,0.026,0,"3","MYCL"
0,7.79403148322629,0.741,0.005,0,"4","VPREB3"
0,7.65046472321062,0.666,0.006,0,"4","TCL1A"
0,7.57233960388137,0.38,0.002,0,"4","FCRLA"
0,7.38665604988852,0.809,0.009,0,"4","IGHD"
0,7.3371676371912,0.61,0.004,0,"4","PAX5"
0,7.29375145379831,0.593,0.005,0,"4","LINC02397"
0,7.21602892789122,0.591,0.007,0,"4","BLK"
0,7.20905612283645,0.97,0.017,0,"4","MS4A1"
0,6.84795799256813,0.652,0.006,0,"4","FCRL1"
0,6.62163890445061,0.707,0.009,0,"4","CD22"
0,2.93673481789427,0.597,0.099,0,"5","AQP3"
3.73051586584659e-238,2.90347358448651,0.396,0.07,7.45767426741392e-234,"5","MAF"
0,2.83548045445554,0.695,0.154,0,"5","GPR183"
3.04329716640917e-161,2.6940872803077,0.291,0.053,6.08385536536858e-157,"5","TIGIT"
4.93340170565043e-272,2.6773489107984,0.419,0.066,9.86236334976577e-268,"5","CD28"
3.10912383751272e-302,2.64586272204685,0.497,0.088,6.21544946357169e-298,"5","TNFRSF25"
2.33710892207687e-233,2.57115741057221,0.383,0.064,4.67211444612387e-229,"5","CD40LG"
4.18200365519973e-142,2.51890338571823,0.318,0.072,8.36024350710977e-138,"5","TBC1D4"
8.01592845445772e-300,2.45543183379201,0.564,0.114,1.60246425733064e-295,"5","INPP4B"
0,2.41854855004208,0.935,0.264,0,"5","IL7R"
0,6.02286682851178,0.878,0.02,0,"6","FN1"
0,4.87524501636213,0.351,0.008,0,"6","LPL"
0,4.80535650761749,0.281,0.008,0,"6","AL355922.1"
0,4.6014027860422,0.275,0.005,0,"6","ALOX15B"
0,4.55826358298087,0.256,0.012,0,"6","CALCRL"
0,4.44874921219637,0.338,0.012,0,"6","EPHB2"
0,4.00312992326459,0.734,0.03,0,"6","ADAMTS2"
0,3.98382001009662,0.403,0.02,0,"6","MS4A4A"
0,3.95968941577814,0.361,0.013,0,"6","LINC00482"
0,3.868933626811,0.415,0.029,0,"6","NRG1"
0,3.20819142722292,1,0.891,0,"7","NEAT1"
1.20120253702945e-69,2.96532548386049,0.523,0.343,2.40132399177556e-65,"7","NABP1"
8.62026674972746e-296,2.92837055120678,0.918,0.485,1.72327752593802e-291,"7","SLC25A37"
1.09808186503548e-88,2.78954463756673,0.478,0.219,2.19517545639242e-84,"7","IL1R2"
8.45493460448512e-12,2.75063159786504,0.296,0.248,1.69022597678262e-07,"7","TRIM25"
7.32162265327922e-127,2.74613567503061,0.547,0.225,1.46366558461705e-122,"7","STEAP4"
8.11535413098662e-308,2.67757207379779,0.949,0.555,1.62234044432553e-303,"7","CSF3R"
6.19789984597727e-24,2.6705100989261,0.318,0.214,1.23902215820932e-19,"7","DENND3"
1.24489364623592e-20,2.65998616954146,0.293,0.198,2.48866688819023e-16,"7","MCTP2"
3.8005597616656e-73,2.59871066390046,0.49,0.273,7.59769901954569e-69,"7","CREB5"
0,10.6345883088101,0.791,0.005,0,"8","GP9"
0,10.5758959475408,0.737,0.005,0,"8","CMTM5"
0,10.410207628195,0.638,0.006,0,"8","PTCRA"
0,10.3853948070023,0.503,0.003,0,"8","CTTN"
0,10.3697544766819,0.969,0.033,0,"8","PPBP"
0,10.1038378747065,0.255,0.001,0,"8","AL731557.1"
0,10.0449080486418,0.636,0.005,0,"8","TMEM40"
0,10.0070527483079,0.253,0.001,0,"8","LY6G6F"
0,10.002998157037,0.627,0.005,0,"8","TREML1"
0,9.97512405453987,0.257,0.001,0,"8","ALOX12"
0,7.8961620056006,0.525,0.005,0,"9","SH2D1B"
0,6.66807288660654,0.936,0.034,0,"9","KLRF1"
0,6.45933344261072,0.497,0.006,0,"9","NCR1"
0,6.25519002663793,0.415,0.015,0,"9","MYOM2"
0,5.60754324312963,0.814,0.056,0,"9","SPON2"
0,5.33843520946267,0.667,0.036,0,"9","CD160"
0,5.31927231282576,0.379,0.011,0,"9","AKR1C3"
0,5.26459625508037,1,0.132,0,"9","GNLY"
0,5.21891933787167,0.803,0.05,0,"9","CLIC3"
0,4.97824260797459,0.874,0.078,0,"9","IL2RB"
0,8.41051043548082,0.5,0.003,0,"10","OLR1"
0,8.00229228852349,0.994,0.037,0,"10","LTF"
0,7.88208364803224,0.747,0.008,0,"10","CRISP3"
0,7.65702728634443,0.915,0.047,0,"10","CAMP"
0,7.49548314300499,0.954,0.019,0,"10","MMP8"
0,6.77569609520289,0.759,0.022,0,"10","HP"
0,6.71803442817572,0.628,0.008,0,"10","TCN1"
0,6.71768843956287,0.979,0.049,0,"10","LCN2"
0,6.54289817516499,0.296,0.004,0,"10","TFF3"
0,6.10686077067265,0.878,0.087,0,"10","RETN"
0,7.70345048511218,0.326,0.002,0,"11","DEFA1B"
0,7.53039221644884,0.819,0.066,0,"11","DEFA3"
0,7.36222567574237,0.614,0.023,0,"11","ELANE"
0,7.35970838960174,0.735,0.046,0,"11","DEFA4"
0,7.07454261270784,0.66,0.007,0,"11","CEACAM6"
0,6.96230565919167,0.479,0.008,0,"11","TOP2A"
0,6.94413159139539,0.614,0.036,0,"11","MPO"
0,6.90759085162643,0.405,0.005,0,"11","RRM2"
0,6.73735981145609,0.823,0.019,0,"11","MS4A3"
0,6.71255146117197,0.605,0.014,0,"11","RNASE3"
0,4.72856159093474,0.792,0.066,0,"12","MTRNR2L1"
9.42573823417755e-259,4.5155288721273,0.696,0.068,1.88429933039443e-254,"12","CXCL8"
2.30114312806161e-163,4.43397209461715,0.285,0.016,4.60021522730797e-159,"12","AC084871.2"
2.5658962467962e-190,4.18337180544806,0.304,0.015,5.12948318697029e-186,"12","CXCL1"
2.29078051924264e-277,4.12775108958352,0.763,0.077,4.57949933601796e-273,"12","FOLR3"
